name
Harvey Keitel
Tim Roth
Michael Madsen
Chris Penn
Steve Buscemi
Lawrence Tierney
Randy Brooks
Kirk Baltz
Edward Bunker
Quentin Tarantino
Steven Wright
Christian Slater
Patricia Arquette
Michael Rapaport
Bronson Pinchot
Saul Rubinek
Dennis Hopper
James Gandolfini
Gary Oldman
Christopher Walken
Tom Sizemore
Michael Beach
Brad Pitt
Val Kilmer
Samuel L. Jackson
Conchata Ferrel
John Travolta
Uma Thurman
Amanda Plummer
Maria de Medeiros
Ving Rhames
Eric Stoltz
Rosana Arquette
Bruce Willis
Woody Harrelson
Juliette Lewis
Robert Downey Jr.
Tommy Lee Jones
Rodney Dangerfield
Edie McClurg
Sean Stone
Russell Means
Lanny Flaherty
Evan Handler
Richard Lineback
Pruitt Taylor Vince
Joe Grifasi
Everett Quinton
Marshall Bell
Louis Lombardi
Dale Dye
O Lan James
George Clooney
Salma Hayek
Danny Trejo
Tom Savini
Fred Williamson
Michael Parks
John Saxon
Marc Lawrence
Kelly Preston
John Hawkes
Tito and Tarantula
Lucy Liu
David Carradine
Vivica A. Fox
Daryl Hannah
Julie Dreyfus
Sonny Chiba
Chiaki Kuriyama
Gordon Liu
Michael Bowen
Jun Kinimura
Kenji Ohna
James Parks
Bo Svenson
Jeannie Epper
Larry Bishop
Sid Haig
Kurt Russel
Zoe Bell
Rosario Dawson
Vanessa Ferlito
Sydney Tamiia Poitier
Tracie Thoms
Jordan Ladd
Rose McGowan
Mary Elizabeth Winstead
Marcy Harriel
Eli Roth
Omar Doom
Michael Bacall
Monica Staggs
Jonathan Lpughran
Marley Shelton
Melanie Laurent
Christoph Waltz
Michael Fassbender
Diane Kruger
Daniel Bruhl
Til Schweiger
Gedeon Burkhard
Jacky Ido
B. J. Novak
August Diehl
Denis Menochet
Sylvester Groth
Martin Wuttke
Mike Myers
Richard Sammel
Alexander Fehling
Rod Taylor
Sonke Mohring
Samm Levine
Paul Rust
Ken Duken
Christian Berkel
Jamie Foxx
Leonardo DiCaprio
Kerry Washington
Don Johnson
Walton Goggins
James Remar
Dennis Christopher
James Russo
David Steen
Tom Wopat
Dana Gourrier
Laura Cayouette
Ato Essandoh
Sammi Rotibi
Omar J. Dorsey
Franco Nero
Jennifer Jason Leigh
Demian Bichir
Bruce Dern
Lee Horsley
Channing Tatum
Gene Jones
